board,n_candidates,our_deeds,rival_deeds,our_full_groups,dev_level,houses_avail,our_cash,proposed,teacher_action,teacher_target,teacher_offer,teacher_request,teacher_offer_color,teacher_req_color,model_rank_of_teacher_choice,model_top_action,model_top_offer,model_top_request,model_top1_correct,seed
195,4,2,2,0,0,32,700,False,unmortgage(sq=6),,,,,,,"exch_trade(player=2, offer=6, req=31)",6,31,False,770196
196,8,2,4,0,0,16,150,False,"sell_trade(player=0, prop=28, price=0.75x)",,,,,,,"exch_trade(player=2, offer=28, req=19)",28,19,False,770197
197,25,5,4,0,0,2,250,False,END_TURN,,,,,,,"exch_trade(player=0, offer=12, req=39)",12,39,False,770198
198,30,5,3,0,0,16,2000,True,"exch_trade(player=2, offer=34, req=29)",3,34,29,green,yellow,19,"exch_trade(player=0, offer=25, req=37)",25,37,False,770199
199,12,5,3,1,2,6,1200,False,improve_house(sq=3),,,,,,,"exch_trade(player=2, offer=15, req=39)",15,39,False,770200
200,30,5,3,0,0,32,400,True,"exch_trade(player=1, offer=14, req=24)",2,14,24,pink,red,4,"exch_trade(player=1, offer=28, req=24)",28,24,False,770201
201,28,4,4,0,0,32,1200,True,"exch_trade(player=0, offer=24, req=32)",1,24,32,red,green,4,"exch_trade(player=0, offer=6, req=32)",6,32,False,770202
202,40,5,5,0,0,32,400,True,"exch_trade(player=1, offer=35, req=31)",2,35,31,railroad,green,1,"exch_trade(player=1, offer=35, req=31)",35,31,True,770203
203,36,4,5,1,0,16,1200,True,"exch_trade(player=0, offer=13, req=32)",1,13,32,pink,green,15,"exch_trade(player=1, offer=12, req=37)",12,37,False,770204
204,15,5,2,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=1, offer=35, req=31)",35,31,False,770205
205,30,5,5,0,0,6,150,False,"sell_trade(player=0, prop=34, price=0.75x)",,,,,,,"exch_trade(player=1, offer=15, req=37)",15,37,False,770206
206,4,2,2,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=6)",5,6,False,770207
207,14,2,3,0,0,16,400,False,unmortgage(sq=32),,,,,,,"exch_trade(player=2, offer=11, req=31)",11,31,False,770208
208,6,2,3,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=3, req=29)",3,29,False,770209
209,10,2,3,0,0,6,700,True,"exch_trade(player=1, offer=24, req=16)",2,24,16,red,orange,6,"exch_trade(player=1, offer=19, req=39)",19,39,False,770210
210,32,4,5,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=15, req=31)",15,31,False,770211
211,15,3,4,0,0,6,400,False,unmortgage(sq=19),,,,,,,"exch_trade(player=0, offer=25, req=31)",25,31,False,770212
212,12,2,3,0,0,32,1200,True,"exch_trade(player=0, offer=15, req=19)",1,15,19,railroad,orange,4,"exch_trade(player=0, offer=15, req=32)",15,32,False,770213
213,35,5,4,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=8, req=34)",8,34,False,770214
214,35,5,4,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=27)",12,27,False,770215
215,21,3,5,0,0,32,2000,False,"buy_trade(player=2, prop=13, price=0.75x)",,,,,,,"exch_trade(player=2, offer=24, req=34)",24,34,False,770216
216,12,3,2,0,0,2,700,False,END_TURN,,,,,,,"exch_trade(player=0, offer=23, req=39)",23,39,False,770217
217,24,4,2,0,0,16,3500,False,END_TURN,,,,,,,"exch_trade(player=1, offer=5, req=34)",5,34,False,770218
218,12,2,2,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=6, req=39)",6,39,False,770219
219,20,4,2,0,0,16,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=39)",12,39,False,770220
220,16,4,2,0,0,32,250,True,"exch_trade(player=1, offer=12, req=3)",2,12,3,utility,brown,4,"exch_trade(player=2, offer=12, req=14)",12,14,False,770221
221,20,4,3,0,0,32,2000,False,"buy_trade(player=0, prop=24, price=1.25x)",,,,,,,"exch_trade(player=1, offer=12, req=39)",12,39,False,770222
222,32,4,4,0,0,32,250,False,"sell_trade(player=0, prop=9, price=0.75x)",,,,,,,"exch_trade(player=2, offer=9, req=39)",9,39,False,770223
223,21,3,3,0,0,32,3500,False,unmortgage(sq=29),,,,,,,"exch_trade(player=2, offer=1, req=24)",1,24,False,770224
224,12,4,2,0,0,2,2000,False,unmortgage(sq=25),,,,,,,"exch_trade(player=0, offer=28, req=24)",28,24,False,770225
225,12,2,2,0,0,6,400,True,"exch_trade(player=1, offer=28, req=9)",2,28,9,utility,lightblue,6,"exch_trade(player=0, offer=28, req=26)",28,26,False,770226
226,9,3,2,0,0,6,3500,False,unmortgage(sq=25),,,,,,,"exch_trade(player=2, offer=25, req=14)",25,14,False,770227
227,28,4,3,0,0,2,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=3, req=39)",3,39,False,770228
228,24,4,3,0,0,16,3500,False,"buy_trade(player=1, prop=28, price=0.75x)",,,,,,,"exch_trade(player=2, offer=12, req=32)",12,32,False,770229
229,12,3,4,0,0,32,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=3, req=34)",3,34,False,770230
230,18,2,5,0,0,2,250,True,"exch_trade(player=0, offer=15, req=32)",1,15,32,railroad,green,3,"exch_trade(player=0, offer=15, req=39)",15,39,False,770231
231,16,4,2,0,0,6,3500,True,"exch_trade(player=0, offer=34, req=24)",1,34,24,green,red,14,"exch_trade(player=0, offer=35, req=39)",35,39,False,770232
232,24,4,5,0,0,6,2000,True,"exch_trade(player=1, offer=11, req=9)",2,11,9,pink,lightblue,23,"exch_trade(player=1, offer=25, req=39)",25,39,False,770233
233,25,5,3,0,0,2,400,False,unmortgage(sq=34),,,,,,,"exch_trade(player=1, offer=1, req=32)",1,32,False,770234
234,6,3,2,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=19)",12,19,False,770235
235,25,5,5,0,0,32,150,False,"sell_trade(player=0, prop=1, price=1.0x)",,,,,,,"exch_trade(player=1, offer=5, req=32)",5,32,False,770236
236,20,5,3,0,0,6,700,True,"exch_trade(player=0, offer=32, req=16)",1,32,16,green,orange,16,"exch_trade(player=2, offer=35, req=29)",35,29,False,770237
237,12,3,3,0,0,16,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=15, req=32)",15,32,False,770238
238,12,2,4,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=13, req=39)",13,39,False,770239
239,25,5,2,0,0,32,400,False,unmortgage(sq=25),,,,,,,"exch_trade(player=1, offer=25, req=24)",25,24,False,770240
240,14,2,4,0,0,32,2000,True,"exch_trade(player=0, offer=12, req=16)",1,12,16,utility,orange,6,"exch_trade(player=0, offer=12, req=37)",12,37,False,770241
241,28,4,4,0,0,32,3500,False,unmortgage(sq=15),,,,,,,"exch_trade(player=1, offer=15, req=37)",15,37,False,770242
242,14,2,5,0,0,2,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=29, req=32)",29,32,False,770243
243,8,2,4,0,0,6,400,False,unmortgage(sq=24),,,,,,,"exch_trade(player=0, offer=6, req=29)",6,29,False,770244
244,18,3,5,0,0,2,400,False,unmortgage(sq=26),,,,,,,"exch_trade(player=2, offer=15, req=21)",15,21,False,770245
245,24,4,4,0,0,16,250,False,END_TURN,,,,,,,"exch_trade(player=0, offer=28, req=32)",28,32,False,770246
246,6,3,2,0,0,32,2000,False,unmortgage(sq=25),,,,,,,"exch_trade(player=2, offer=25, req=24)",25,24,False,770247
247,14,2,3,0,0,6,700,False,unmortgage(sq=34),,,,,,,"exch_trade(player=2, offer=15, req=31)",15,31,False,770248
248,21,3,4,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=9, req=32)",9,32,False,770249
249,15,3,4,0,0,2,250,False,END_TURN,,,,,,,"exch_trade(player=0, offer=1, req=26)",1,26,False,770250
250,18,2,5,0,0,6,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=1, req=34)",1,34,False,770251
251,8,2,3,0,0,16,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=39)",28,39,False,770252
252,24,4,3,0,0,32,250,True,"exch_trade(player=0, offer=27, req=14)",1,27,14,yellow,pink,12,"exch_trade(player=0, offer=28, req=14)",28,14,False,770253
253,4,2,2,0,0,32,2000,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=16)",28,16,False,770254
254,15,3,2,0,0,32,250,True,"exch_trade(player=1, offer=13, req=8)",2,13,8,pink,lightblue,15,"exch_trade(player=1, offer=25, req=32)",25,32,False,770255
255,10,5,2,0,0,2,2000,False,unmortgage(sq=9),,,,,,,"exch_trade(player=0, offer=28, req=39)",28,39,False,770256
256,21,3,3,0,0,16,250,True,"exch_trade(player=2, offer=25, req=11)",3,25,11,railroad,pink,11,"exch_trade(player=2, offer=25, req=39)",25,39,False,770257
257,35,5,4,0,0,6,250,True,"exch_trade(player=2, offer=18, req=26)",3,18,26,orange,yellow,22,"exch_trade(player=1, offer=35, req=32)",35,32,False,770258
258,12,4,3,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=1, offer=3, req=27)",3,27,False,770259
259,12,5,2,1,3,2,700,False,improve_house(sq=16),,,,,,,"exch_trade(player=2, offer=28, req=31)",28,31,False,770260
260,15,3,4,0,0,32,700,True,"exch_trade(player=0, offer=16, req=27)",1,16,27,orange,yellow,8,"exch_trade(player=1, offer=12, req=39)",12,39,False,770261
261,16,4,4,0,0,32,400,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=39)",28,39,False,770262
262,14,2,5,0,0,16,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=27)",28,27,False,770263
263,40,5,5,0,0,32,2000,True,"exch_trade(player=2, offer=18, req=5)",3,18,5,orange,railroad,33,"exch_trade(player=2, offer=35, req=29)",35,29,False,770264
264,25,5,2,1,0,6,700,False,improve_house(sq=3),,,,,,,"exch_trade(player=0, offer=12, req=39)",12,39,False,770265
265,30,5,2,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=9, req=39)",9,39,False,770266
266,20,4,2,0,0,2,400,False,unmortgage(sq=3),,,,,,,"exch_trade(player=2, offer=3, req=39)",3,39,False,770267
267,30,5,3,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=3, req=34)",3,34,False,770268
268,20,5,4,0,0,6,1200,False,unmortgage(sq=28),,,,,,,"exch_trade(player=1, offer=28, req=34)",28,34,False,770269
269,27,3,5,0,0,32,3500,True,"exch_trade(player=1, offer=12, req=29)",2,12,29,utility,yellow,4,"exch_trade(player=2, offer=12, req=37)",12,37,False,770270
270,30,5,5,0,0,32,250,True,"exch_trade(player=0, offer=13, req=29)",1,13,29,pink,yellow,6,"exch_trade(player=0, offer=12, req=29)",12,29,False,770271
271,24,4,4,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=24, req=29)",24,29,False,770272
272,35,5,5,0,0,32,1200,True,"exch_trade(player=2, offer=1, req=11)",3,1,11,brown,pink,3,"exch_trade(player=0, offer=1, req=26)",1,26,False,770273
273,25,5,5,0,0,16,2000,False,unmortgage(sq=21),,,,,,,"exch_trade(player=2, offer=25, req=37)",25,37,False,770274
274,16,4,2,0,0,2,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=8, req=34)",8,34,False,770275
275,18,3,3,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=3, req=18)",3,18,False,770276
276,18,3,4,0,0,6,400,False,unmortgage(sq=12),,,,,,,"exch_trade(player=0, offer=12, req=26)",12,26,False,770277
277,30,5,3,0,0,2,3500,False,unmortgage(sq=27),,,,,,,"exch_trade(player=1, offer=35, req=31)",35,31,False,770278
278,30,5,3,0,0,2,400,False,unmortgage(sq=15),,,,,,,"exch_trade(player=2, offer=15, req=37)",15,37,False,770279
279,20,4,5,0,0,2,400,False,unmortgage(sq=24),,,,,,,"exch_trade(player=1, offer=5, req=32)",5,32,False,770280
280,35,5,5,0,0,16,1200,True,"exch_trade(player=0, offer=27, req=12)",1,27,12,yellow,utility,35,"exch_trade(player=0, offer=28, req=34)",28,34,False,770281
281,28,4,4,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=28, req=29)",28,29,False,770282
282,14,2,4,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=15, req=31)",15,31,False,770283
283,27,3,5,0,0,6,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=27, req=26)",27,26,False,770284
284,30,5,2,0,0,6,250,True,"exch_trade(player=1, offer=21, req=18)",2,21,18,red,orange,24,"exch_trade(player=0, offer=35, req=34)",35,34,False,770285
285,15,3,5,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=6, req=37)",6,37,False,770286
286,16,4,2,0,0,2,3500,False,unmortgage(sq=14),,,,,,,"exch_trade(player=2, offer=12, req=39)",12,39,False,770287
287,18,3,5,0,0,6,700,False,END_TURN,,,,,,,"exch_trade(player=1, offer=6, req=31)",6,31,False,770288
288,36,4,5,0,0,32,2000,False,"buy_trade(player=1, prop=26, price=0.75x)",,,,,,,"exch_trade(player=2, offer=28, req=34)",28,34,False,770289
289,30,5,2,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=5, req=27)",5,27,False,770290
290,12,2,2,0,0,32,400,True,"exch_trade(player=0, offer=23, req=16)",1,23,16,red,orange,6,"exch_trade(player=1, offer=19, req=34)",19,34,False,770291
291,4,2,2,0,0,32,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=25, req=1)",25,1,False,770292
292,18,3,2,0,0,16,2000,False,unmortgage(sq=6),,,,,,,"exch_trade(player=0, offer=25, req=26)",25,26,False,770293
293,4,2,2,0,0,6,400,True,"exch_trade(player=0, offer=8, req=18)",1,8,18,lightblue,orange,1,"exch_trade(player=0, offer=8, req=18)",8,18,True,770294
294,25,5,4,0,0,32,1200,False,unmortgage(sq=35),,,,,,,"exch_trade(player=2, offer=35, req=27)",35,27,False,770295
295,18,3,4,0,0,16,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=21, req=37)",21,37,False,770296
296,18,3,2,0,0,16,3500,False,"buy_trade(player=2, prop=19, price=1.25x)",,,,,,,"exch_trade(player=2, offer=28, req=39)",28,39,False,770297
297,20,4,3,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=0, offer=28, req=37)",28,37,False,770298
298,18,3,5,0,0,6,2000,True,"exch_trade(player=2, offer=28, req=18)",3,28,18,utility,orange,10,"exch_trade(player=1, offer=28, req=34)",28,34,False,770299
299,8,2,3,0,0,32,2000,True,"exch_trade(player=2, offer=9, req=34)",3,9,34,lightblue,green,1,"exch_trade(player=2, offer=9, req=34)",9,34,True,770300
300,24,3,5,0,0,16,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=26, req=37)",26,37,False,770301
301,24,3,5,0,0,16,700,True,"exch_trade(player=0, offer=23, req=19)",1,23,19,red,orange,14,"exch_trade(player=0, offer=1, req=32)",1,32,False,770302
302,24,4,4,0,0,2,700,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=27)",5,27,False,770303
303,36,4,5,0,0,32,1200,True,"exch_trade(player=2, offer=23, req=13)",3,23,13,red,pink,21,"exch_trade(player=2, offer=5, req=26)",5,26,False,770304
304,16,4,4,0,0,32,3500,True,"exch_trade(player=2, offer=19, req=34)",3,19,34,orange,green,3,"exch_trade(player=2, offer=28, req=34)",28,34,False,770305
305,24,4,5,0,0,32,400,True,"exch_trade(player=0, offer=9, req=16)",1,9,16,lightblue,orange,7,"exch_trade(player=2, offer=9, req=37)",9,37,False,770306
306,20,4,5,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=18)",35,18,False,770307
307,28,4,4,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=14)",35,14,False,770308
308,18,3,3,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=13, req=32)",13,32,False,770309
309,6,3,5,1,1,32,250,False,"sell_trade(player=0, prop=27, price=1.25x)",,,,,,,"exch_trade(player=2, offer=27, req=18)",27,18,False,770310
310,25,5,2,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=39)",35,39,False,770311
311,6,2,2,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=9, req=29)",9,29,False,770312
312,16,4,5,0,3,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=19)",5,19,False,770313
313,14,2,3,0,0,6,250,True,"exch_trade(player=1, offer=15, req=23)",2,15,23,railroad,red,5,"exch_trade(player=2, offer=15, req=39)",15,39,False,770314
314,40,5,5,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=37)",28,37,False,770315
315,28,4,4,0,0,16,700,True,"exch_trade(player=0, offer=11, req=5)",1,11,5,pink,railroad,17,"exch_trade(player=2, offer=11, req=29)",11,29,False,770316
316,32,4,4,0,0,32,2000,True,"exch_trade(player=1, offer=21, req=34)",2,21,34,red,green,11,"exch_trade(player=1, offer=12, req=34)",12,34,False,770317
317,15,3,3,0,0,32,400,False,unmortgage(sq=14),,,,,,,"exch_trade(player=2, offer=13, req=32)",13,32,False,770318
318,20,5,4,0,0,32,2000,True,"exch_trade(player=0, offer=28, req=18)",1,28,18,utility,orange,1,"exch_trade(player=0, offer=28, req=18)",28,18,True,770319
319,30,5,4,0,0,6,3500,True,"exch_trade(player=1, offer=19, req=26)",2,19,26,orange,yellow,10,"exch_trade(player=0, offer=1, req=39)",1,39,False,770320
320,20,4,5,0,0,32,150,False,"sell_trade(player=0, prop=14, price=1.0x)",,,,,,,"exch_trade(player=1, offer=14, req=24)",14,24,False,770321
321,20,4,4,0,0,2,1200,False,unmortgage(sq=14),,,,,,,"exch_trade(player=0, offer=15, req=39)",15,39,False,770322
322,18,3,5,0,0,2,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=15, req=39)",15,39,False,770323
323,15,5,3,0,0,6,3500,False,unmortgage(sq=32),,,,,,,"exch_trade(player=1, offer=3, req=16)",3,16,False,770324
324,16,2,4,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=1, req=39)",1,39,False,770325
325,28,4,5,0,0,32,250,False,"sell_trade(player=0, prop=21, price=0.75x)",,,,,,,"exch_trade(player=2, offer=15, req=34)",15,34,False,770326
326,9,3,2,0,0,32,250,False,"sell_trade(player=1, prop=26, price=0.75x)",,,,,,,"exch_trade(player=0, offer=5, req=32)",5,32,False,770327
327,18,3,3,0,0,2,250,True,"exch_trade(player=0, offer=15, req=31)",1,15,31,railroad,green,1,"exch_trade(player=0, offer=15, req=31)",15,31,True,770328
328,21,3,4,0,0,32,400,False,unmortgage(sq=15),,,,,,,"exch_trade(player=0, offer=15, req=37)",15,37,False,770329
329,30,5,5,1,0,6,250,False,improve_house(sq=9),,,,,,,"exch_trade(player=0, offer=35, req=39)",35,39,False,770330
330,12,2,5,0,0,2,1200,True,"exch_trade(player=2, offer=13, req=28)",3,13,28,pink,utility,8,"exch_trade(player=1, offer=13, req=37)",13,37,False,770331
331,30,5,3,0,0,6,250,True,"exch_trade(player=1, offer=19, req=21)",2,19,21,orange,red,18,"exch_trade(player=1, offer=15, req=29)",15,29,False,770332
332,30,5,2,0,0,32,250,True,"exch_trade(player=2, offer=19, req=9)",3,19,9,orange,lightblue,25,"exch_trade(player=2, offer=12, req=37)",12,37,False,770333
333,40,5,5,0,0,32,400,False,unmortgage(sq=13),,,,,,,"exch_trade(player=0, offer=28, req=39)",28,39,False,770334
334,25,5,4,0,0,16,250,True,"exch_trade(player=0, offer=3, req=28)",1,3,28,brown,utility,7,"exch_trade(player=1, offer=3, req=29)",3,29,False,770335
335,9,3,2,0,0,32,700,True,"exch_trade(player=1, offer=21, req=35)",2,21,35,red,railroad,8,"exch_trade(player=2, offer=25, req=37)",25,37,False,770336
336,21,3,4,0,0,32,1200,True,"exch_trade(player=1, offer=32, req=24)",2,32,24,green,red,13,"exch_trade(player=2, offer=6, req=37)",6,37,False,770337
337,12,3,4,0,0,32,3500,False,unmortgage(sq=37),,,,,,,"exch_trade(player=1, offer=14, req=6)",14,6,False,770338
338,12,2,3,0,0,16,3500,False,END_TURN,,,,,,,"exch_trade(player=1, offer=23, req=32)",23,32,False,770339
339,20,4,3,0,0,6,150,False,"sell_trade(player=0, prop=24, price=1.25x)",,,,,,,"exch_trade(player=0, offer=14, req=37)",14,37,False,770340
340,12,3,4,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=14, req=37)",14,37,False,770341
341,12,2,4,0,0,32,3500,False,unmortgage(sq=1),,,,,,,"exch_trade(player=0, offer=1, req=39)",1,39,False,770342
342,45,5,5,0,0,6,1200,True,"exch_trade(player=0, offer=11, req=35)",1,11,35,pink,railroad,40,"exch_trade(player=2, offer=5, req=39)",5,39,False,770343
343,35,5,5,0,0,16,700,False,unmortgage(sq=31),,,,,,,"exch_trade(player=1, offer=1, req=19)",1,19,False,770344
344,25,5,5,0,0,2,700,False,unmortgage(sq=31),,,,,,,"exch_trade(player=0, offer=35, req=26)",35,26,False,770345
345,12,2,2,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=1, req=26)",1,26,False,770346
346,15,3,4,0,0,32,400,False,END_TURN,,,,,,,"exch_trade(player=0, offer=12, req=29)",12,29,False,770347
347,10,2,3,0,0,16,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=5, req=24)",5,24,False,770348
348,24,4,4,0,0,16,1200,False,unmortgage(sq=34),,,,,,,"exch_trade(player=0, offer=16, req=24)",16,24,False,770349
349,12,2,4,0,0,6,2000,True,"exch_trade(player=2, offer=19, req=5)",3,19,5,orange,railroad,9,"exch_trade(player=0, offer=19, req=39)",19,39,False,770350
350,24,4,5,0,0,2,3500,False,"buy_trade(player=1, prop=21, price=0.75x)",,,,,,,"exch_trade(player=2, offer=25, req=31)",25,31,False,770351
351,35,5,4,0,0,2,400,True,"exch_trade(player=1, offer=27, req=5)",2,27,5,yellow,railroad,22,"exch_trade(player=2, offer=35, req=24)",35,24,False,770352
352,12,2,4,0,0,6,400,True,"exch_trade(player=0, offer=28, req=19)",1,28,19,utility,orange,5,"exch_trade(player=0, offer=28, req=39)",28,39,False,770353
353,25,5,5,0,0,2,250,True,"exch_trade(player=1, offer=32, req=39)",2,32,39,green,darkblue,7,"exch_trade(player=1, offer=15, req=39)",15,39,False,770354
354,20,4,5,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=1, req=23)",1,23,False,770355
355,18,3,2,0,0,2,3500,False,END_TURN,,,,,,,"exch_trade(player=2, offer=14, req=31)",14,31,False,770356
356,10,2,5,0,0,32,2000,False,unmortgage(sq=19),,,,,,,"exch_trade(player=1, offer=8, req=31)",8,31,False,770357
357,45,5,5,0,0,32,1200,True,"exch_trade(player=0, offer=15, req=23)",1,15,23,railroad,red,23,"exch_trade(player=2, offer=28, req=39)",28,39,False,770358
358,15,5,2,0,0,6,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=23)",28,23,False,770359
359,10,2,3,0,0,16,3500,False,unmortgage(sq=34),,,,,,,"exch_trade(player=1, offer=24, req=39)",24,39,False,770360
360,35,5,5,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=12, req=31)",12,31,False,770361
361,28,4,4,0,0,6,400,False,END_TURN,,,,,,,"exch_trade(player=1, offer=12, req=32)",12,32,False,770362
362,25,5,3,0,0,16,700,True,"exch_trade(player=2, offer=32, req=5)",3,32,5,green,railroad,25,"exch_trade(player=2, offer=15, req=34)",15,34,False,770363
363,28,4,5,0,0,32,3500,False,"buy_trade(player=1, prop=18, price=0.75x)",,,,,,,"exch_trade(player=1, offer=35, req=23)",35,23,False,770364
364,20,4,5,0,0,32,3500,False,END_TURN,,,,,,,"exch_trade(player=0, offer=35, req=39)",35,39,False,770365
365,30,5,3,0,0,32,400,True,"exch_trade(player=2, offer=39, req=19)",3,39,19,darkblue,orange,25,"exch_trade(player=2, offer=5, req=19)",5,19,False,770366
366,16,4,2,0,0,6,3500,False,unmortgage(sq=13),,,,,,,"exch_trade(player=0, offer=15, req=37)",15,37,False,770367
367,24,4,3,0,0,6,700,True,"exch_trade(player=1, offer=39, req=29)",2,39,29,darkblue,yellow,13,"exch_trade(player=1, offer=35, req=29)",35,29,False,770368
368,15,3,4,0,0,6,150,False,"sell_trade(player=2, prop=27, price=1.0x)",,,,,,,"exch_trade(player=0, offer=3, req=39)",3,39,False,770369
369,12,2,3,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=37)",12,37,False,770370
370,30,5,4,0,0,16,1200,False,END_TURN,,,,,,,"exch_trade(player=1, offer=1, req=32)",1,32,False,770371
371,15,3,2,0,0,16,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=12, req=37)",12,37,False,770372
372,18,2,5,0,0,6,700,False,"buy_trade(player=1, prop=18, price=0.75x)",,,,,,,"exch_trade(player=2, offer=9, req=29)",9,29,False,770373
373,20,5,4,0,0,32,1200,True,"exch_trade(player=1, offer=34, req=23)",2,34,23,green,red,4,"exch_trade(player=1, offer=14, req=23)",14,23,False,770374
374,16,2,5,0,0,6,1200,True,"exch_trade(player=2, offer=34, req=29)",3,34,29,green,yellow,3,"exch_trade(player=2, offer=26, req=29)",26,29,False,770375
375,24,3,5,0,0,6,700,True,"exch_trade(player=0, offer=16, req=26)",1,16,26,orange,yellow,3,"exch_trade(player=0, offer=14, req=26)",14,26,False,770376
376,10,2,3,0,0,2,3500,False,unmortgage(sq=32),,,,,,,"exch_trade(player=0, offer=32, req=37)",32,37,False,770377
377,9,3,3,0,0,32,1200,True,"exch_trade(player=1, offer=32, req=39)",2,32,39,green,darkblue,5,"exch_trade(player=1, offer=28, req=39)",28,39,False,770378
378,18,3,2,0,0,2,400,True,"exch_trade(player=0, offer=21, req=26)",1,21,26,red,yellow,5,"exch_trade(player=0, offer=5, req=26)",5,26,False,770379
379,24,3,4,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=0, offer=35, req=29)",35,29,False,770380
380,18,3,3,0,0,2,400,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=34)",5,34,False,770381
381,40,5,5,0,0,6,1200,True,"exch_trade(player=0, offer=5, req=26)",1,5,26,railroad,yellow,7,"exch_trade(player=0, offer=5, req=37)",5,37,False,770382
382,21,3,4,0,0,2,700,False,unmortgage(sq=9),,,,,,,"exch_trade(player=0, offer=9, req=39)",9,39,False,770383
383,12,2,5,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=18, req=37)",18,37,False,770384
384,10,2,3,0,0,32,1200,True,"exch_trade(player=1, offer=32, req=27)",2,32,27,green,yellow,7,"exch_trade(player=1, offer=8, req=37)",8,37,False,770385
385,24,4,5,0,0,32,1200,True,"exch_trade(player=2, offer=21, req=16)",3,21,16,red,orange,10,"exch_trade(player=2, offer=15, req=23)",15,23,False,770386
386,18,3,2,0,0,32,1200,False,END_TURN,,,,,,,"exch_trade(player=0, offer=28, req=37)",28,37,False,770387
387,30,5,4,0,0,32,1200,True,"exch_trade(player=0, offer=11, req=18)",1,11,18,pink,orange,2,"exch_trade(player=2, offer=11, req=23)",11,23,False,770388
388,15,3,5,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=35, req=11)",35,11,False,770389
389,12,4,2,0,0,6,3500,False,unmortgage(sq=37),,,,,,,"exch_trade(player=1, offer=12, req=39)",12,39,False,770390
390,18,3,2,0,0,2,3500,False,unmortgage(sq=12),,,,,,,"exch_trade(player=1, offer=12, req=27)",12,27,False,770391
